Ж/Д,6:53,7:38,7:55,8:40,8:57,9:42,9:59,10:44,11:01,11:46,12:03,12:48,15:10,15:55,16:12,16:57,17:14,17:59,18:16,19:00
УППВОС,6:45,7:45,8:48,9:50,10:52,11:54,16:03,17:06,18:08,19:09
ТЭЦ,7:15,8:17,9:19,10:21,11:23,12:25,15:32,16:34,17:36,18:38
Перерыв,15:09
msg,Выходные дни - суббота, воскресение до 12:26. Распиcание от 25.01.2017
